scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0224,16,196,0.08163265306122448,0.2107202112674713,0.21850410103797913,0.10794339329004288,0.02279401570558548,0.3382399380207062,0.0410747192800045,0.3289843201637268
ground_rot_45,scene_0225,19,196,0.09693877551020408,0.25745338201522827,0.30781248211860657,0.15178798139095306,-0.18960662186145782,0.4595600962638855,0.10056335479021072,0.4072779417037964
ground_rot_45,scene_0226,29,196,0.14795918367346939,0.2347673773765564,0.1943584829568863,0.12676352262496948,0.03912082314491272,0.5872020125389099,0.10683940351009369,0.4089067578315735
ground_rot_45,scene_0227,47,196,0.23979591836734693,0.36441850662231445,0.3723542094230652,0.1111140102148056,0.1025090292096138,0.5677899718284607,0.22645854949951172,0.5000243782997131
ground_rot_45,scene_0228,31,196,0.15816326530612246,0.3495173156261444,0.36047908663749695,0.1157754510641098,0.0990026444196701,0.5662075281143188,0.1876191645860672,0.5046067833900452
ground_rot_45,scene_0229,45,196,0.22959183673469388,0.3590332567691803,0.37079349160194397,0.12770406901836395,0.08169535547494888,0.6152756214141846,0.1998383104801178,0.5109193325042725
ground_rot_45,scene_0230,21,196,0.10714285714285714,0.19194798171520233,0.19124352931976318,0.13651920855045319,-0.07915987074375153,0.45992326736450195,0.008822433650493622,0.37140703201293945
ground_rot_45,scene_0231,43,196,0.2193877551020408,0.21832887828350067,0.2283557653427124,0.12457997351884842,-0.08778341114521027,0.503548264503479,0.09871862828731537,0.40417006611824036
ground_rot_45,scene_0232,27,196,0.1377551020408163,0.2307673990726471,0.24538235366344452,0.14160925149917603,-0.09975573420524597,0.47450029850006104,0.05893285945057869,0.398377001285553
ground_rot_45,scene_0233,34,196,0.17346938775510204,0.30953046679496765,0.32054126262664795,0.08552099764347076,0.0621296726167202,0.444402813911438,0.20975399017333984,0.39200764894485474
ground_rot_45,scene_0234,9,196,0.04591836734693878,0.3648424744606018,0.3696572780609131,0.1321205496788025,0.1899934560060501,0.6374610066413879,0.19966979324817657,0.4879717528820038
ground_rot_45,scene_0235,38,196,0.19387755102040816,0.24916739761829376,0.26000601053237915,0.11413948237895966,-0.08775463700294495,0.4807942509651184,0.13156139850616455,0.36444124579429626
ground_rot_45,scene_0236,6,196,0.030612244897959183,0.20107828080654144,0.1793721616268158,0.0764102041721344,0.11036737263202667,0.35974669456481934,0.13947227597236633,0.27776259183883667
ground_rot_45,scene_0237,12,196,0.061224489795918366,0.21362188458442688,0.2139340043067932,0.062449388206005096,0.0787712037563324,0.3026578426361084,0.11854373663663864,0.2792234420776367
ground_rot_45,scene_0238,22,196,0.11224489795918367,0.30550915002822876,0.3101416230201721,0.15163077414035797,-0.08249831199645996,0.5157457590103149,0.11428838223218918,0.4766336977481842
ground_rot_45,scene_0239,13,196,0.0663265306122449,0.1832158863544464,0.22603514790534973,0.11099278926849365,0.017520517110824585,0.3567058742046356,0.024243293330073357,0.30938899517059326
ground_rot_45,scene_0240,27,196,0.1377551020408163,0.22187840938568115,0.2312493473291397,0.0998481810092926,-0.0225512832403183,0.3910055458545685,0.1243056133389473,0.3353438675403595
ground_rot_45,scene_0241,36,196,0.1836734693877551,0.3988853991031647,0.4272988736629486,0.12985865771770477,0.04992790147662163,0.6188089847564697,0.2498803734779358,0.5580571889877319
ground_rot_45,scene_0242,45,196,0.22959183673469388,0.18651415407657623,0.1842166781425476,0.1415466070175171,-0.08014583587646484,0.6081092357635498,0.032388485968112946,0.35968017578125
ground_rot_45,scene_0243,29,196,0.14795918367346939,0.4555942714214325,0.430404931306839,0.10279132425785065,0.3095620274543762,0.663672685623169,0.34609517455101013,0.6226692199707031
ground_rot_45,scene_0244,36,196,0.1836734693877551,0.2988843023777008,0.299904465675354,0.1295156478881836,-0.014956409111618996,0.5988166928291321,0.1160300076007843,0.4257643222808838
ground_rot_45,scene_0245,43,196,0.2193877551020408,0.23153355717658997,0.22057199478149414,0.1068839579820633,0.013937636278569698,0.43659287691116333,0.10669993609189987,0.385015606880188
ground_rot_45,scene_0246,33,196,0.1683673469387755,0.21845601499080658,0.24080318212509155,0.12644469738006592,-0.09197214990854263,0.40394142270088196,0.005289151798933744,0.36484038829803467
ground_rot_45,scene_0247,38,196,0.19387755102040816,0.39659908413887024,0.4066639542579651,0.13052783906459808,0.17144760489463806,0.7239843606948853,0.2213599681854248,0.5544259548187256
ground_rot_45,scene_0248,49,196,0.25,0.26568838953971863,0.24608880281448364,0.11420024931430817,-0.0035205166786909103,0.5101915597915649,0.12660866975784302,0.4347171187400818
ground_rot_45,scene_0249,22,196,0.11224489795918367,0.29030078649520874,0.27180716395378113,0.10956203937530518,0.09438852965831757,0.5661308169364929,0.1853710561990738,0.4184737205505371
ground_rot_45,scene_0250,35,196,0.17857142857142858,0.32697629928588867,0.36327609419822693,0.1290910691022873,0.03321075811982155,0.521835207939148,0.10359424352645874,0.4535765051841736
ground_rot_45,scene_0251,42,196,0.21428571428571427,0.2367078959941864,0.24925708770751953,0.11942148208618164,-0.02047581970691681,0.4060697853565216,0.05361476540565491,0.3775246739387512
